1795|美時|化學生技醫療|50.73|22.66|6.56|53.68|26.48|7.29|2.18|4.65|2.47|13.89|2.57|180.5
1802|台玻|玻璃陶瓷|19.23|7.88|5.71|23.32|12.63|10.75|0.2|0.64|0.44|66.98|0|57.9
1808|潤隆|建材營造|27.35|22.8|17.47|25.67|21.51|18.46|1.06|2.52|1.46|8.75|1.5|37
1815|富喬|電子零組件業|35.97|21.37|24.34|39.97|25.68|39.54|0.79|2.24|1.45|31.01|0.5|107
1904|正隆|造紙|20.63|6.68|5.99|20.52|7.25|9.27|0.56|1.45|0.89|11.84|0.45|25.7
1905|華紙|造紙|5.24|-4.89|-4.03|0.88|-9.97|-9.19|-0.16|-0.52|-0.36|||13.65
1907|永豐餘|造紙工業|13.5|-0.43|1.43|14.59|0.67|2.88|0.13|0.42|0.29|17.91|1|28.95
2002|中鋼||3.33|-0.78|-2.35|7.96|4.12|3.15|-0.16|0.08|0.24||0.15|19
2006|東和鋼鐵|鋼鐵工業|14.74|10.22|8.96|18.03|13.67|10.91|1.66|4.08|2.42|10.74|4.3|80.9
2010|春源|鋼鐵|10.61|7.21|5.81|12.74|8.56|7.95|0.57|1.35|0.78|9.08|2|22.95
2014|中鴻|鋼鐵|-0.95|-2.98|-3.26|6.15|4.38|4.28|-0.10|0.07|0.17|||17.5
2015|豐興|鋼鐵|12.81|9.20|8.21|12.74|9.67|11.16|0.91|2.36|1.45|14.86|3.3|60.6
2023|燁輝|鋼鐵|8.54|0.53|-5.14|10.41|2.01|-1.55|-0.40|-0.51|-0.11|||13.95
2027|大成鋼|鋼鐵工業|27.32|18.07|11.27|30.49|21.11|15.06|1.17|2.98|1.81|9.39|1.5|50.5
2049|上銀|電機機械|31.94|9.88|8.61|34.17|13.77|10.87|1.64|4.04|2.4|52.88|2|349
2059|川湖|電子工業|77.74|67.06|63.96|87.42|82.08|65.45|36.58|110.96|74.38|68.91|51|12500
2072|世紀風電|鋼鐵工業|30.92|28.32|22.88|20.64|18.83|16.11|5.26|9.37|4.11|10.49|13.08|155
2101|南港|橡膠|41.25|30.40|24.78|43.42|34.25|20.95|1.86|4.07|2.21|5.72|1.30|33.25
2103|台橡|橡膠|12.25|6.30|4.86|21.15|15.25||0.53|2.26|1.73|10.78|0.27|28.4
2105|正新|橡膠工業|24.84|9.93|7.92|24.84|9.99|6.15|0.57|1.05|0.48|16.7|1.8|30.4
2106|建大|橡膠工業|19.75|2.94|1.28|19.71|3.05|2.1|0.12|0.33|0.21|37.55|0.65|17.65
2201|裕隆|汽車工業|32.99|9.01|6.21|32.52|10.33|5.50|0.35|0.50|0.15|32.92|0.56|28
2204|中華|汽車工業|13.91|4.62|6.58|15.17|5.66|13.16|1.18|3.20|2.02|8.55|3.60|55.1
2206|三陽工業|汽車工業|21.2|9.42|7.37|20.73|8.03|8.86|1.37|3.09|1.72|10.2|3.06|60.9
2207|和泰車|汽車工業|15.48|9.16|7.37|19.84|11.93|9.49|7.95|3.76|-4.19|12.64|20|514
2208|台船|航運|0.05|-3.80|1.82|-11.70|-15.12|5.40|0.07|0.28|0.21|39.9|0|15.91
2211|長榮鋼|鋼鐵工業|23.15|18.62|15.64|27.71|21.07|24.37|1.07|3.26|2.19|11.44|6.5|84.4
2227|裕日車|汽車|11.08|-4.18|-8.42|5.90|-6.24|-14.46|-0.89|-2.60|-1.71||0.84|49.05
2247|汎德永業|汽車|11.96|2.55|2.12|11.38|3.51|2.90|2.35|6.55|4.20|16.2|14.50|226.5
2258|鴻華先進|創新版股票|13.66|-106.76|-109.79|10.29|-75.02|-74.98|-0.51|-1.14|-0.63|||31.5
2301|光寶科|電子工業|21.66|9.44|8.7|27.22|15.56|13.52|1.66|4.79|3.13|31.23|5.5|267
2303|聯電|半導體業|29.19|18.47|26.4|32.47|21.75|61.44|1.29|4.67|3.38|18.2|2.61|121
2308|台達電|電子工業|37|17.83|14.96|35.64|16.69|14.83|7.91|16.93|9.02|59.99|11.6|1620
2312|金寶|其他電子業|6.87|2.47|2.01|6.89|3.13|1.98|0.35|0.70|0.35|28.36|0.60|31.05
2313|華通|電子工業|17.98|9.92|7.69|18.51|9.77|7.39|1.26|2.5|1.24|34.7|2.8|215.5
2316|楠梓電|電子工業|6.2|-7.14|62.57|-3.53|-16.31|48.37|3.53|6.55|3.02|11.08|2|158.5
2317|鴻海|其他電子業|6.18|3.57|2.69|6.13|3.75|2.77|3.56|7.93|4.37|17.11|7.17|264.5
2324|仁寶|電子工業|5.26|1.31|1.19|4.63|1.2|1.51|0.45|1.13|0.68|21.71|1.1|43.2
2327|國巨|電子工業|38.1|25.19|21.06|38.51|26.42|21.26|3.9|8.49|4.59|41.89|6|622
2328|廣宇|電子零組件|7.79|-0.34|-2.53|8.55|0.27|-0.96|-0.16|-0.24|-0.08|104.42|0.90|44.9
2329|華泰|半導體業|12.79|5.61|4.83|13.25|6.31|7.45|0.33|0.95|0.62|19.26|1|52.3
2330|台積電|半導體業|66.25|58.1|50.51|67.73|60.35|55.64|22.08|49.33|27.25|32.47|12|2395
2332|友訊|通訊網路|25.27|0.92|-0.57|24.09|1.80|0.36|-0.05|-0.07|-0.02|||20.2
2337|旺宏|半導體業|40.8|18.46|17|64.41|46.89|40.44|0.9|4.81|3.91|32.46||137
2338|光罩|半導體業|17.55|0.93|10.29|14.77|-0.8|1.78|0.52|0.64|0.12||0|38.25
2344|華邦電|半導體業|53.37|32.81|26.45|66.26|48.43|40.43|2.25|7.63|5.38|20.23|0.5|183.5
2345|智邦|通信網路業|19.55|14.33|11.88|19.69|15.01|11.56|14.92|34.7|19.78|36.14|15|2300
2347|聯強|電子工業|4.3|2.67|2.45|3.39|2.38|2.01|1.77|4.09|2.32|12.44|4.2|90.9
2351|順德|半導體|19.12|9.69|8.29|20.72|11.71|9.05|1.22|2.81|1.59|46.8|1.03|197.5
2352|佳世達|電子工業|16.67|1.34|0.73|17.28|1.24|1.98|0.2|0.76|0.56|38.31|1|29.5
2353|宏碁|電子工業|11.16|1.11|1.85|11.38|2.09|3.27|0.23|0.71|0.48||1.3|32.3
2354|鴻準|其他電子業|4.84|1.48|2.59|4.03|1.14|2.88|0.47|1.1|0.63|25.51|1.5|62.5
2355|敬鵬|電子零組件|12.08|4.80|6.08|12.18|4.41|4.24|0.62|1.07|0.45|21.95|1.00|41.7
2356|英業達|電子工業|5.08|1.8|1.22|4.23|1.76|1.45|0.68|1.77|1.09|20.81|2|69.9
2357|華碩||14.86|5.71|5.35|17.17|8.13|7.9|13.19|37.25|24.06|13.35|42|996
2359|所羅門|其他電子|21.44|-4.02|16.06|19.68|1.81|50.64|0.78|4.55|3.77|23.99||150
2360|致茂||62.6|40.45|33.29|60.5|38.74|38.66|9.12|21.2|12.08|54.59|19.5|2300
2362|藍天|電子工業|20.88|6.85|7.10|17.17|5.24|30.47|0.61|4.05|3.44|8.03|2|47.35
2363|矽統|半導體|28.80|7.20|8.36|28.08|4.00|1.60|0.17|0.20|0.03|93.89|0.61|51
2367|燿華|電子工業|5.77|-7.71|-7.3|7.19|-5.35|-4.06|-0.4|-0.64|-0.24|||51.5
2368|金像電|電子工業|34.81|26.85|18.04|34.65|26.44|19.69|6.87|16.3|9.43|36.79|9.8|1015
2371|大同|電機機械|16.44|3.77|-0.68|17.37|5.26|16.34|-0.05|1.32|1.37|||26.35
2374|佳能|光電|24.31|9.09|8.96|24.07|10.45|8.84|0.73|1.55|0.82|20.71|1.99|68.5
2375|凱美|電子零組件|16.96|6.01|5.92|19.09|8.76|7.35|0.78|1.84|1.06|29.45||122.5
2376|技嘉||12.01|7.06|5.37|9.63|5.63|5.18|7.86|18.26|10.4|12.87|12|339.5
2377|微星|電子工業|15|6.89|6.07|15.97|6.57|6|4.04|7.58|3.54|12.14||140
2379|瑞昱|半導體業|49.66|11.89|11.89|47|9.92|10.14|8.44|15.86|7.42|25.49||703
2382|廣達|電子工業|4.78|2.85|2.63|5.03|3.3|2.77|5.5|12.91|7.41|14.25|15.6|327
2383|台光電|電子工業|29.42|21.56|16.15|33.85|26.93|20.88|14.9|42.45|27.55|93.59|25|6165
2385|群光|電子工業|16.15|7.55|7.25|13.62|2.46|11.8|2.00|5.06|3.06|12.01|7.2|107.5
2388|威盛|半導體業|23.95|-24.02|0.22|21.71|-9.76|3.44|0.08|0.33|0.25|46.19|0.05|73.9
2392|正崴|電子零組件|19.32|9.98|8.8|4.23|-7.66|25.04|-0.46|12.56|13.02|5.36|1.0|41.6
2393|億光|光電業|24.73|7.41|8.26|24.16|9.59|10.76|0.91|2.15|1.24|13.8|4.14|64.7
2395|研華|電子工業|39.15|18.29|16.28|37.68|19.63|17.24|3.85|9.08|5.23|43.26|9.17|683
